frame,tick,round,health,armor,victim health,victim new health,victim armor,victim new armor,attacker steamid,attacker side,attacker team name,is attacker controlling bot,victim steamid,victim side,victim team name,is victim controlling bot,weapon name,weapon class,hitgroup,weapon unique id,match checksum
4252,3462,1,100,0,100,0,100,100,76561198053126645,3,Team A,0,76561198246607476,2,Team B,0,USP-S,pistol,1,01JSKM0D8MZP03MFQVP2AFMJK7,324954a3ba732f18
4252,3462,1,1,0,100,99,100,100,76561199063068840,2,Team B,0,76561198053126645,3,Team A,0,Flashbang,grenade,0,01JSKM0D8VCGFH14V48ER5X34W,324954a3ba732f18
4371,3561,1,75,0,100,25,0,0,76561198001151695,3,Team A,0,76561199063068840,2,Team B,0,Dual Berettas,pistol,1,01JSKM0D8XNAQGY0QN731VY6RG,324954a3ba732f18
4424,3609,1,18,0,25,7,0,0,76561198001151695,3,Team A,0,76561199063068840,2,Team B,0,Dual Berettas,pistol,2,01JSKM0D8XNAQGY0QN731VY6RG,324954a3ba732f18
4464,3639,1,7,0,7,0,0,0,76561198001151695,3,Team A,0,76561199063068840,2,Team B,0,Dual Berettas,pistol,2,01JSKM0D8XNAQGY0QN731VY6RG,324954a3ba732f18
4593,3756,1,20,7,100,80,100,93,76561198001151695,3,Team A,0,76561198176878303,2,Team B,0,Dual Berettas,pistol,2,01JSKM0D8XNAQGY0QN731VY6RG,324954a3ba732f18
4595,3758,1,100,0,100,0,100,100,76561198176878303,2,Team B,0,76561198001151695,3,Team A,0,Glock-18,pistol,1,01JSKM0D8QD8AXFWP0G0MH8VXZ,324954a3ba732f18
5291,4356,1,20,0,100,80,100,100,76561198150673360,3,Team A,0,76561198050250233,2,Team B,0,USP-S,pistol,1,01JSKM0D8KEYEX3CGB3V0DXBFN,324954a3ba732f18
6922,5803,1,100,0,100,0,0,0,76561198053126645,3,Team A,0,76561198013243326,2,Team B,0,USP-S,pistol,1,01JSKM0D8MZP03MFQVP2AFMJK7,324954a3ba732f18
7806,6573,1,98,0,99,1,100,100,76561198050250233,2,Team B,0,76561198053126645,3,Team A,0,Glock-18,pistol,1,01JSKM0D8JBFR3PA8GRP8XDVWD,324954a3ba732f18
