frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
4252,3462,1,NertZ,76561198053126645,3,Team A,b1t,76561198246607476,2,Team B,ultimate,76561198283989223,3,Team A,USP-S,pistol,1,0,1,0,0,0,1481.560669,916.019836,-145.914062,0,0,1344.752808,888.865112,-151.968750,0,1,0,932.035400,2163.967529,-39.968750,0,0,0,0,3.489471,324954a3ba732f18
4464,3639,1,NAF,76561198001151695,3,Team A,w0nderful,76561199063068840,2,Team B,ultimate,76561198283989223,3,Team A,Dual Berettas,pistol,0,0,1,0,0,0,-622.813599,159.449860,-95.968750,0,0,918.477051,165.259598,-188.273682,0,1,0,933.271790,2157.055176,-39.968750,0,1,0,0,39.119698,324954a3ba732f18
4595,3758,1,jL,76561198176878303,2,Team B,NAF,76561198001151695,3,Team A,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-432.990845,137.788208,-119.968750,0,0,-519.271667,107.117432,-111.336121,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,2.418899,324954a3ba732f18
6922,5803,1,NertZ,76561198053126645,3,Team A,Aleksib,76561198013243326,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,1180.556396,577.120239,-148.968750,0,0,1282.844482,507.902740,2.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,4.923015,324954a3ba732f18
7831,6598,1,iM,76561198050250233,2,Team B,NertZ,76561198053126645,3,Team A,,0,0,,Glock-18,pistol,0,0,0,0,0,0,863.158508,-502.534607,-31.968750,0,0,822.064880,86.351402,-146.516602,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,15.164683,324954a3ba732f18
8076,6818,1,ultimate,76561198283989223,3,Team A,iM,76561198050250233,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,1297.394287,909.767456,-151.968750,0,0,747.156799,-44.481995,-109.877930,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,27.980034,324954a3ba732f18
8745,7412,1,ultimate,76561198283989223,3,Team A,jL,76561198176878303,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,822.463257,7.590183,-149.022583,0,0,505.780579,85.968597,-151.968750,0,0,0,0.000000,0.000000,0.000000,0,0,1,0,8.208471,324954a3ba732f18
16485,13774,2,siuhy,76561198150673360,3,Team A,jL,76561198176878303,2,Team B,,0,0,,FAMAS,rifle,0,0,0,0,0,0,-786.106934,259.569489,-55.968750,0,0,-501.887207,75.412094,-119.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,8.827243,324954a3ba732f18
16509,13794,2,b1t,76561198246607476,2,Team B,siuhy,76561198150673360,3,Team A,,0,0,,Desert Eagle,pistol,1,0,0,0,0,0,-486.858337,99.449486,-119.968750,0,0,-777.107239,274.890228,-55.968750,0,0,0,0.000000,0.000000,0.000000,1,1,0,0,8.768113,324954a3ba732f18
16652,13918,2,ultimate,76561198283989223,3,Team A,b1t,76561198246607476,2,Team B,,0,0,,M4A4,rifle,1,0,0,0,0,0,-674.988770,417.650208,-55.968750,0,0,-620.171936,68.605743,-95.968750,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,9.072463,324954a3ba732f18
